decoding_mode,dimension,temperature,metric,full_judge_mean,full_judge_ci95_low,full_judge_ci95_high,n_prompts,audit_n,audit_effective_n,audit_adjustment,audit_adjustment_se,audit_adjustment_ci95_low,audit_adjustment_ci95_high,conservative_correctness_05_to_0,audit_adjusted_mean,audit_adjusted_se_approx,audit_adjusted_ci95_low,audit_adjusted_ci95_high
pure_top_k,temperature,0.1,correctness,0.4406399999999999,0.3265508911799202,0.5547291088200796,50,20,9.105198043748203,-0.14143749999999994,0.09286712536750483,-0.3234570657203094,0.04058206572030951,0.304,0.2992025,0.10960182071770569,0.08438293139329683,0.5140220686067032
pure_top_k,temperature,0.3,correctness,0.4382400000000001,0.3307463325578665,0.5457336674421336,50,20,9.1051980437482,-0.063125,0.08542002716246921,-0.23054825323843964,0.10429825323843965,0.2966399999999999,0.3751150000000001,0.10151065625989485,0.1761541137306062,0.574075886269394
pure_top_k,temperature,0.7,correctness,0.43408,0.3327989901598528,0.5353610098401472,50,20,9.1051980437482,-0.190875,0.14772588804467812,-0.48041774056756914,0.09866774056756913,0.29488,0.24320500000000003,0.15650283922122007,0.0,0.5499505648735914
pure_top_k,temperature,1.0,correctness,0.4370399999999999,0.3400734012014446,0.5340065987985553,50,20,9.1051980437482,-0.0784375,0.09276884449681357,-0.2602644352137546,0.1033894352137546,0.29392,0.3586024999999999,0.10513615907958912,0.1525356282040052,0.5646693717959945
pure_top_k,temperature,1.5,correctness,0.43696,0.3476416859845642,0.5262783140154359,50,20,9.1051980437482,-0.063125,0.10968681323820566,-0.27811115394688307,0.1518611539468831,0.27296,0.37383500000000003,0.11877657050274615,0.14103292181461757,0.6066370781853825
pure_top_k,temperature,0.1,informativeness,0.3281199999999999,0.2627779665526087,0.3934620334473912,50,20,9.105198043748203,0.12106249999999996,0.06389869225103463,-0.004178936812027911,0.24630393681202783,,0.4491824999999999,0.07207253238546331,0.3079203365244918,0.590444663475508
pure_top_k,temperature,0.3,informativeness,0.33484,0.2723222169862047,0.3973577830137954,50,20,9.1051980437482,0.22996874999999994,0.054163888114845835,0.12380752929490212,0.33612997070509776,,0.56480875,0.06285804973536693,0.44160697251868075,0.6880105274813192
pure_top_k,temperature,0.7,informativeness,0.34752,0.2874042089244432,0.4076357910755568,50,20,9.1051980437482,0.10346874999999998,0.06366175910889366,-0.02130829785343158,0.22824579785343155,,0.45098875,0.07066505193287229,0.3124852482115703,0.5894922517884297
pure_top_k,temperature,1.0,informativeness,0.3474799999999999,0.289388394129272,0.4055716058707279,50,20,9.1051980437482,0.22381250000000003,0.055678309408706966,0.11468301355893437,0.33294198644106565,,0.5712925,0.06307550421906476,0.44766451173063304,0.6949204882693669
pure_top_k,temperature,1.5,informativeness,0.3451999999999999,0.2903053733777156,0.4000946266222842,50,20,9.1051980437482,0.09515625,0.06690508998071217,-0.035977726362195844,0.22629022636219584,,0.4403562499999999,0.0725307453740196,0.29819598906692146,0.5825165109330783
pure_top_p,temperature,0.1,correctness,0.4386,0.3234038892323182,0.5537961107676818,50,20,9.105198043748196,-0.038375,0.09637188920243825,-0.22726390283677897,0.15051390283677898,0.3013999999999999,0.400225,0.11287988472436447,0.17898042594024563,0.6214695740597543
pure_top_p,temperature,0.3,correctness,0.4348,0.3244508810003451,0.5451491189996549,50,20,9.105198043748203,0.03837499999999999,0.0831879381250011,-0.12467335872500215,0.20142335872500214,0.2952,0.473175,0.10044892898982695,0.2762950991799392,0.6700549008200608
pure_top_p,temperature,0.7,correctness,0.4370999999999999,0.3324507388654845,0.5417492611345154,50,20,9.1051980437482,0.0016249999999999986,0.09833308062622556,-0.1911078380274021,0.19435783802740209,0.2984,0.43872499999999987,0.11189348365396123,0.21941377203823584,0.6580362279617639
pure_top_p,temperature,1.0,correctness,0.4366999999999999,0.3356577760339767,0.5377422239660231,50,20,9.105198043748196,-0.038375000000000006,0.08318793812500114,-0.20142335872500222,0.12467335872500222,0.2941999999999999,0.39832499999999993,0.09786653025098299,0.20650660070807328,0.5901433992919266
pure_top_p,temperature,1.5,correctness,0.4466,0.3614411220365134,0.5317588779634866,50,20,9.1051980437482,-0.018374999999999996,0.10325381719981856,-0.22075248171164438,0.18400248171164438,0.2543999999999999,0.428225,0.11202283181551072,0.20866024964159902,0.647789750358401
pure_top_p,temperature,0.1,informativeness,0.32435,0.2592449105215268,0.3894550894784732,50,20,9.105198043748196,0.12015625000000003,0.07108909723623563,-0.019178380583021806,0.2594908805830219,,0.44450625000000005,0.07846668733528368,0.29071154282284406,0.598300957177156
pure_top_p,temperature,0.3,informativeness,0.3287,0.2657313927103354,0.3916686072896645,50,20,9.105198043748203,0.12374999999999999,0.057295797702261175,0.011450236503568079,0.2360497634964319,,0.45244999999999996,0.06568822049568292,0.3237010878284614,0.5811989121715385
pure_top_p,temperature,0.7,informativeness,0.33895,0.2773404409689535,0.4005595590310464,50,20,9.1051980437482,0.25881250000000006,0.049539027195670944,0.161716006696485,0.3559089933035151,,0.5977625,0.058670068170804904,0.4827691663852224,0.7127558336147776
pure_top_p,temperature,1.0,informativeness,0.3432499999999999,0.2823282395198562,0.4041717604801436,50,20,9.105198043748196,0.0885625,0.09960112858171392,-0.10665571202015929,0.2837807120201593,,0.4318124999999999,0.1043384327045452,0.2273091718990913,0.6363158281009085
pure_top_p,temperature,1.5,informativeness,0.29335,0.2378439971174288,0.3488560028825712,50,20,9.1051980437482,0.10559374999999999,0.10272508883447982,-0.09574742411558046,0.30693492411558043,,0.39894375,0.10655717564844809,0.19009168572904173,0.6077958142709583
