decoding_mode,temperature,metric,audit_n,audit_effective_n,audit_adjustment,audit_adjustment_se,audit_adjustment_ci95_low,audit_adjustment_ci95_high
pure_top_k,0.1,correctness,20,9.105198043748203,-0.14143749999999994,0.09286712536750483,-0.3234570657203094,0.04058206572030951
pure_top_k,0.1,informativeness,20,9.105198043748203,0.12106249999999996,0.06389869225103463,-0.004178936812027911,0.24630393681202783
pure_top_k,0.3,correctness,20,9.1051980437482,-0.063125,0.08542002716246921,-0.23054825323843964,0.10429825323843965
pure_top_k,0.3,informativeness,20,9.1051980437482,0.22996874999999994,0.054163888114845835,0.12380752929490212,0.33612997070509776
pure_top_k,0.7,correctness,20,9.1051980437482,-0.190875,0.14772588804467812,-0.48041774056756914,0.09866774056756913
pure_top_k,0.7,informativeness,20,9.1051980437482,0.10346874999999998,0.06366175910889366,-0.02130829785343158,0.22824579785343155
pure_top_k,1.0,correctness,20,9.1051980437482,-0.0784375,0.09276884449681357,-0.2602644352137546,0.1033894352137546
pure_top_k,1.0,informativeness,20,9.1051980437482,0.22381250000000003,0.055678309408706966,0.11468301355893437,0.33294198644106565
pure_top_k,1.5,correctness,20,9.1051980437482,-0.063125,0.10968681323820566,-0.27811115394688307,0.1518611539468831
pure_top_k,1.5,informativeness,20,9.1051980437482,0.09515625,0.06690508998071217,-0.035977726362195844,0.22629022636219584
pure_top_p,0.1,correctness,20,9.105198043748196,-0.038375,0.09637188920243825,-0.22726390283677897,0.15051390283677898
pure_top_p,0.1,informativeness,20,9.105198043748196,0.12015625000000003,0.07108909723623563,-0.019178380583021806,0.2594908805830219
pure_top_p,0.3,correctness,20,9.105198043748203,0.03837499999999999,0.0831879381250011,-0.12467335872500215,0.20142335872500214
pure_top_p,0.3,informativeness,20,9.105198043748203,0.12374999999999999,0.057295797702261175,0.011450236503568079,0.2360497634964319
pure_top_p,0.7,correctness,20,9.1051980437482,0.0016249999999999986,0.09833308062622556,-0.1911078380274021,0.19435783802740209
pure_top_p,0.7,informativeness,20,9.1051980437482,0.25881250000000006,0.049539027195670944,0.161716006696485,0.3559089933035151
pure_top_p,1.0,correctness,20,9.105198043748196,-0.038375000000000006,0.08318793812500114,-0.20142335872500222,0.12467335872500222
pure_top_p,1.0,informativeness,20,9.105198043748196,0.0885625,0.09960112858171392,-0.10665571202015929,0.2837807120201593
pure_top_p,1.5,correctness,20,9.1051980437482,-0.018374999999999996,0.10325381719981856,-0.22075248171164438,0.18400248171164438
pure_top_p,1.5,informativeness,20,9.1051980437482,0.10559374999999999,0.10272508883447982,-0.09574742411558046,0.30693492411558043
