temperature,top_k,anchor_top_k,metric,mean_paired_difference,se,ci95_low,ci95_high,ci_excludes_zero,n_prompts
0.1,1,10,correctness,-0.004000000000000001,0.008060991988380504,-0.019799544297225788,0.011799544297225788,False,50
0.1,1,10,strict_accuracy,-0.008000000000000002,0.008,-0.02368,0.007679999999999998,False,50
0.1,1,10,audit_calibrated_correctness,-0.004741351888667995,0.006835797175748849,-0.01813951435313574,0.008656810575799749,False,50
0.1,1,10,informativeness,-0.006999999999999999,0.005891883036371793,-0.018548090751288715,0.004548090751288715,False,50
0.1,1,10,audit_calibrated_informativeness,-0.0047785679353442865,0.005354114150402665,-0.01527263167013351,0.0057154957994449375,False,50
0.1,1,10,unique_answer_rate,-0.076,0.018857142857142857,-0.11296,-0.03904,True,50
0.1,1,10,pairwise_token_jaccard_distance,-0.06928450680749268,0.020724204651581767,-0.10990394792459295,-0.028665065690392413,True,50
0.1,1,10,corpus_distinct_1,-0.03238355678730324,0.012778896760522653,-0.057430194437927636,-0.007336919136678839,True,50
0.1,1,10,corpus_distinct_2,-0.04199191149172769,0.012313709887540243,-0.06612678287130658,-0.017857040112148816,True,50
0.1,1,10,within_answer_distinct_1,0.0010966463847482456,0.0014056413762520018,-0.0016584107127056778,0.003851703482202169,False,50
0.1,1,10,within_answer_distinct_2,0.00028787878787878916,0.005717928541731102,-0.010919261153914173,0.01149501872967175,False,50
0.1,1,10,trigram_repetition_rate,0.0,0.0,0.0,0.0,False,50
0.1,1,10,model_generation_latency_seconds,-0.021763495148159565,0.0059664265104494895,-0.033457691108640567,-0.010069299187678566,True,50
0.1,1,10,tokens_per_second,1.9664969443219968,0.3451626366829255,1.2899781764234628,2.6430157122205307,True,50
0.1,1,10,word_length,-0.027999999999999955,0.2134276152206539,-0.4463181258324816,0.39031812583248165,False,50
0.1,1,10,stopped_early_on_eos,-0.024,0.016796501093370365,-0.056921142143005914,0.008921142143005913,False,50
0.1,2,10,correctness,0.001999999999999999,0.0060541771715477396,-0.009866187256233571,0.013866187256233568,False,50
0.1,2,10,strict_accuracy,0.0,0.0057142857142857125,-0.011199999999999996,0.011199999999999996,False,50
0.1,2,10,audit_calibrated_correctness,0.001229856850715745,0.00501058892795205,-0.008590897448070272,0.011050611149501764,False,50
0.1,2,10,informativeness,-0.004000000000000001,0.004915614438310073,-0.013634604299087742,0.005634604299087741,False,50
