top_k,anchor_top_k,metric,mean_paired_difference,se,ci95_low,ci95_high,ci_excludes_zero,n_prompts
1,10,correctness,0.0096,0.022037000425536638,-0.033592520834051814,0.05279252083405181,False,50
1,10,strict_accuracy,0.019200000000000002,0.025252746870188122,-0.030295383865568716,0.06869538386556873,False,50
1,10,audit_calibrated_correctness,0.01137924453280319,0.019920474952416868,-0.027664886373933873,0.05042337543954026,False,50
1,10,informativeness,-0.0176,0.014298736921526334,-0.04562552436619162,0.010425524366191614,False,50
1,10,audit_calibrated_informativeness,-0.01787202465855069,0.014126467559869333,-0.04555990107589458,0.009815851758793202,False,50
1,10,unique_answer_rate,-0.4,0.028249616215561775,-0.4553692477825011,-0.34463075221749895,True,50
1,10,pairwise_token_jaccard_distance,-0.3676036428739866,0.028239756130557313,-0.42295356488987895,-0.3122537208580943,True,50
1,10,corpus_distinct_1,-0.17377724841980727,0.01438715967165628,-0.20197608137625359,-0.14557841546336095,True,50
1,10,corpus_distinct_2,-0.2967179218538773,0.016920455826641808,-0.3298820152740952,-0.2635538284336594,True,50
1,10,within_answer_distinct_1,0.006646920553547251,0.003135507427787444,0.0005013259950838612,0.012792515112010641,True,50
1,10,within_answer_distinct_2,-0.0013739610563298428,0.01656042243306146,-0.033832389025130305,0.031084466912470618,False,50
1,10,trigram_repetition_rate,-0.0002474810213940646,0.00014819252442446737,-0.0005379383692660207,4.297632647789145e-05,False,50
1,10,model_generation_latency_seconds,-0.041195676501840375,0.015490806131528824,-0.07155765651963687,-0.010833696484043882,True,50
1,10,tokens_per_second,2.041276924359334,0.34379735440602655,1.3674341097235219,2.7151197389951456,True,50
1,10,word_length,-0.6503999999999999,0.5809321826309216,-1.7890270779566062,0.48822707795660647,False,50
1,10,stopped_early_on_eos,-0.035199999999999995,0.027132689825058943,-0.08838007205711552,0.017980072057115534,False,50
2,10,correctness,0.0088,0.007432087080177878,-0.0057668906771486395,0.02336689067714864,False,50
2,10,strict_accuracy,0.013600000000000001,0.007885714285714284,-0.0018559999999999948,0.029056,False,50
2,10,audit_calibrated_correctness,0.009290155061451331,0.006367915065780685,-0.00319095846747881,0.021771268590381473,False,50
2,10,informativeness,0.007400000000000001,0.005053267280095289,-0.002504403868986766,0.017304403868986767,False,50
2,10,audit_calibrated_informativeness,0.00604346168927239,0.00502579740249548,-0.0038071012196187496,0.01589402459816353,False,50
2,10,unique_answer_rate,-0.031200000000000002,0.009850473934521823,-0.05050692891166278,-0.011893071088337228,True,50
2,10,pairwise_token_jaccard_distance,-0.05234802129487833,0.01174832585809127,-0.07537473997673722,-0.02932130261301944,True,50
2,10,corpus_distinct_1,-0.03649812663054306,0.006728122338407249,-0.04968524641382127,-0.023311006847264854,True,50
2,10,corpus_distinct_2,-0.05256466605404461,0.007695073890312378,-0.06764701087905688,-0.03748232122903235,True,50
2,10,within_answer_distinct_1,-0.00025079190548539466,0.001536791601807352,-0.0032629034450278047,0.002761319634057015,False,50
2,10,within_answer_distinct_2,0.005506363389461438,0.005550132199560077,-0.005371895721676313,0.01638462250059919,False,50
2,10,trigram_repetition_rate,-6.703188447433966e-05,0.00015461432366007597,-0.0003700759588480886,0.00023601218989940923,False,50
2,10,model_generation_latency_seconds,-0.018202786736376597,0.007442954173912498,-0.03279097691724509,-0.0036145965555081008,True,50
2,10,tokens_per_second,2.0087794973677813,0.34721398131288245,1.3282400939945318,2.6893189007410307,True,50
2,10,word_length,0.14720000000000022,0.2299144543662503,-0.30343233055785035,0.5978323305578508,False,50
2,10,stopped_early_on_eos,-0.006399999999999989,0.005523678159357516,-0.017226409192340718,0.0044264091923407415,False,50
5,10,correctness,0.0035999999999999973,0.006991306555068141,-0.010102960847933558,0.017302960847933552,False,50
5,10,strict_accuracy,0.009600000000000003,0.008893749238099987,-0.007831748506675973,0.02703174850667598,False,50
5,10,audit_calibrated_correctness,0.004951708155972146,0.00652201622702249,-0.007831443648991934,0.017734859960936225,False,50
5,10,informativeness,-0.00020000000000000074,0.00487802234935597,-0.009760923804737701,0.0093609238047377,False,50
5,10,audit_calibrated_informativeness,0.0001598095079813877,0.004946570138432601,-0.00953546796334651,0.009855086979309287,False,50
5,10,unique_answer_rate,-0.0048,0.008132775714129003,-0.020740240399692845,0.011140240399692847,False,50
5,10,pairwise_token_jaccard_distance,-0.005843833783182195,0.010425252065729291,-0.026277327832011605,0.014589660265647213,False,50
5,10,corpus_distinct_1,0.004877400042558553,0.006386546951813121,-0.007640231982995165,0.01739503206811227,False,50
5,10,corpus_distinct_2,0.004994089543815413,0.00752092812208223,-0.009746929575465758,0.019735108663096586,False,50
5,10,within_answer_distinct_1,0.0027942482030811665,0.0010873922095150789,0.0006629594724316119,0.004925536933730721,True,50
5,10,within_answer_distinct_2,0.005835441470680234,0.0055503090372536566,-0.005043164242336934,0.0167140471836974,False,50
5,10,trigram_repetition_rate,4.3825263718671874e-05,0.0002202053353842919,-0.0003877771936345402,0.000475427721071884,False,50
5,10,model_generation_latency_seconds,-0.01954573755208404,0.007797051419003093,-0.0348279583333301,-0.004263516770837977,True,50
5,10,tokens_per_second,2.027214497173755,0.3444457517595891,1.3521008237249603,2.7023281706225495,True,50
5,10,word_length,-0.04399999999999973,0.21997031339594486,-0.4751418142560516,0.3871418142560522,False,50
5,10,stopped_early_on_eos,-0.011999999999999997,0.007938539422542745,-0.027559537268183776,0.003559537268183784,False,50
