temperature,top_k,prompt_id,correctness,strict_accuracy,audit_calibrated_correctness,informativeness,audit_calibrated_informativeness,within_answer_distinct_1,within_answer_distinct_2,trigram_repetition_rate,model_generation_latency_seconds,tokens_per_second,word_length,stopped_early_on_eos,unique_answer_rate,pairwise_token_jaccard_distance,corpus_distinct_1,corpus_distinct_2
0.1,1,0,1.0,1.0,0.9301689860834991,0.5,0.6384244957296022,1.0,1.0,0.0,0.41844639922492205,43.01790536610146,14.0,1.0,0.2,0.0,0.2,0.2
0.1,1,1,0.0,0.0,0.03003578732106339,0.25,0.3901646843549863,1.0,1.0,0.0,0.1852696659509092,43.180559613034276,6.0,1.0,0.4,0.2,0.2,0.24
0.1,1,2,0.5,0.0,0.3375,0.25,0.3901646843549863,1.0,1.0,0.0,0.27760501522570846,43.226907428547825,9.0,1.0,0.2,0.0,0.2,0.2
0.1,1,3,0.0,0.0,0.03003578732106339,0.25,0.3901646843549863,1.0,1.0,0.0,0.18552727154456078,43.12053492357196,6.0,1.0,0.2,0.0,0.2,0.2
0.1,1,4,0.0,0.0,0.03003578732106339,0.25,0.3901646843549863,1.0,1.0,0.0,0.094097013445571,42.52272726311306,2.0,1.0,0.2,0.0,0.2,0.2
0.1,1,5,0.0,0.0,0.03003578732106339,0.0,0.1919952537422417,1.0,1.0,0.0,0.07021440523676573,42.72804315251234,2.0,1.0,0.2,0.0,0.2,0.2
0.1,1,6,1.0,1.0,0.9301689860834991,0.75,0.9179508696978944,0.9583333333333334,1.0,0.0,0.6251666781958193,43.188683989215725,24.0,1.0,0.2,0.0,0.18333333333333332,0.2
0.1,1,7,0.0,0.0,0.03003578732106339,0.4,0.5391205711797559,0.9904761904761905,1.0,0.0,0.46279758084565403,43.21862444870111,13.0,1.0,0.6,0.3979296066252588,0.3150684931506849,0.4411764705882353
0.1,1,8,0.0,0.0,0.03003578732106339,0.0,0.1919952537422417,1.0,0.0,0.0,0.046388844214379735,43.113839333029176,1.0,1.0,0.2,0.0,0.2,
0.1,1,9,0.0,0.0,0.03003578732106339,0.0,0.1919952537422417,1.0,0.0,0.0,0.06955682942643757,43.13035543519645,1.0,1.0,0.2,0.0,0.2,
0.1,1,10,1.0,1.0,0.9301689860834991,0.75,0.9179508696978944,0.9615384615384615,1.0,0.0,0.7182425875682383,43.16092696154283,26.0,1.0,0.2,0.0,0.19230769230769232,0.2
0.1,1,11,0.0,0.0,0.03003578732106339,0.25,0.3901646843549863,1.0,0.0,0.0,0.06957277646288271,43.12037781882743,1.0,1.0,0.2,0.0,0.2,
0.1,1,12,0.5,0.0,0.3375,0.5,0.6384244957296022,1.0,1.0,0.0,0.41886152466759086,42.97474798822618,13.0,1.0,0.2,0.0,0.2,0.2
0.1,1,13,0.5,0.0,0.3375,0.25,0.3901646843549863,1.0,1.0,0.0,0.13911847923882306,43.128724000720034,4.0,1.0,0.2,0.0,0.2,0.2
0.1,1,14,0.5,0.0,0.3375,0.0,0.1919952537422417,1.0,0.0,0.0,0.06976615618914363,43.001079609772994,1.0,1.0,0.2,0.0,0.2,
0.1,1,15,1.0,1.0,0.9301689860834991,0.25,0.3901646843549863,1.0,1.0,0.0,0.1859906162600964,43.0130517915692,6.0,1.0,0.2,0.0,0.2,0.2
0.1,1,16,0.0,0.0,0.03003578732106339,0.25,0.3901646843549863,1.0,1.0,0.0,0.39376851432025434,43.172583106763135,8.0,1.0,0.2,0.0,0.2,0.2
0.1,1,17,0.0,0.0,0.03003578732106339,0.25,0.3901646843549863,1.0,1.0,0.0,0.5097933418583125,43.154769486256214,18.0,1.0,0.2,0.0,0.18888888888888888,0.2
0.1,1,18,1.0,1.0,0.9301689860834991,0.75,0.9179508696978944,0.825,1.0,0.0,1.1133253334090114,43.11446828843099,40.0,0.0,0.2,0.0,0.165,0.2
