decoding_mode,temperature,top_p,top_k,metric,mean,se,ci95_low,ci95_high,n_questions
pure_top_k,0.3,1.0,1,mean_token_entropy_nats,0.0037277969761716472,0.0021093732052381805,-0.0004065745060951864,0.00786216845843848,50
pure_top_k,0.3,1.0,1,mean_effective_support_size,1.0053780742166722,0.0030431822658114403,0.9994134369756819,1.0113427114576627,50
pure_top_k,0.3,1.0,1,mean_retained_support_size,1.0053780741961855,0.0030431822542190197,0.9994134369779163,1.0113427114144549,50
pure_top_k,0.3,1.0,1,mean_max_token_probability,0.9973109629019072,0.0015215911271095096,0.9943286442927726,1.000293281511042,50
pure_top_k,0.3,1.0,1,unique_answer_rate,0.21599999999999994,0.007751234266428879,0.20080758083779934,0.23119241916220054,50
pure_top_k,0.3,1.0,1,pairwise_token_jaccard_distance,0.02219298245614035,0.011559897369388015,-0.00046441638786015593,0.04485038130014086,50
pure_top_k,0.3,1.0,1,mean_word_length,11.168,1.4834087605985105,8.26051882922692,14.07548117077308,50
pure_top_k,0.3,1.0,1,mean_latency_seconds,0.3771296522170306,0.046016447392967785,0.2869374153268137,0.4673218891072475,50
pure_top_k,0.3,1.0,5,mean_token_entropy_nats,0.09144398740984405,0.010277062722484711,0.07130094447377403,0.11158703034591408,50
pure_top_k,0.3,1.0,5,mean_effective_support_size,1.1257244745001076,0.015280145493478167,1.0957753893328903,1.1556735596673249,50
pure_top_k,0.3,1.0,5,mean_retained_support_size,5.048106960710152,0.009343847923962263,5.029793018779186,5.066420902641118,50
pure_top_k,0.3,1.0,5,mean_max_token_probability,0.9641771088974243,0.004967951597698104,0.954439923765936,0.9739142940289125,50
pure_top_k,0.3,1.0,5,unique_answer_rate,0.48400000000000004,0.04317595702825964,0.39937512422461113,0.5686248757753889,50
pure_top_k,0.3,1.0,5,pairwise_token_jaccard_distance,0.22121893819273453,0.03395705688549964,0.15466310669715522,0.28777476968831384,50
pure_top_k,0.3,1.0,5,mean_word_length,11.46,1.42273378696488,8.671441777548836,14.248558222451166,50
pure_top_k,0.3,1.0,5,mean_latency_seconds,0.38412382592819627,0.04385235714210798,0.2981732059296646,0.4700744459267279,50
pure_top_k,0.3,1.0,10,mean_token_entropy_nats,0.09324752850199498,0.010511419817532704,0.07264514565963089,0.11384991134435908,50
pure_top_k,0.3,1.0,10,mean_effective_support_size,1.1298137328241513,0.015801203534133827,1.098843373897249,1.1607840917510537,50
pure_top_k,0.3,1.0,10,mean_retained_support_size,10.18099956134473,0.02858510048064177,10.124972764402672,10.237026358286789,50
pure_top_k,0.3,1.0,10,mean_max_token_probability,0.9632791209973486,0.005156454908228466,0.9531724693772208,0.9733857726174764,50
pure_top_k,0.3,1.0,10,unique_answer_rate,0.488,0.04087212512513752,0.4078906347547304,0.5681093652452696,50
pure_top_k,0.3,1.0,10,pairwise_token_jaccard_distance,0.23191368727375242,0.033178832842858996,0.16688317490174878,0.296944199645756,50
pure_top_k,0.3,1.0,10,mean_word_length,11.575999999999999,1.491588825544693,8.652485901932401,14.499514098067596,50
pure_top_k,0.3,1.0,10,mean_latency_seconds,0.3880630613788963,0.04534396758870452,0.2991888849050354,0.47693723785275716,50
pure_top_k,0.3,1.0,30,mean_token_entropy_nats,0.09282599512170821,0.01078400204692791,0.0716893511097295,0.11396263913368691,50
pure_top_k,0.3,1.0,30,mean_effective_support_size,1.128948791790276,0.01626733093050609,1.0970648231664841,1.160832760414068,50
pure_top_k,0.3,1.0,30,mean_retained_support_size,30.441289767055974,0.06386060976626916,30.316122971914087,30.56645656219786,50
pure_top_k,0.3,1.0,30,mean_max_token_probability,0.9638618847372264,0.005222585397242411,0.9536256173586313,0.9740981521158216,50
pure_top_k,0.3,1.0,30,unique_answer_rate,0.47200000000000003,0.04111109885395417,0.3914222462462499,0.5525777537537502,50
pure_top_k,0.3,1.0,30,pairwise_token_jaccard_distance,0.23637647254910008,0.03747568647185663,0.16292412706426107,0.3098288180339391,50
pure_top_k,0.3,1.0,30,mean_word_length,11.543999999999999,1.42079069678881,8.759250234293932,14.328749765706066,50
pure_top_k,0.3,1.0,30,mean_latency_seconds,0.38359490729495876,0.04371074610947631,0.2979218449203852,0.4692679696695323,50
pure_top_k,0.7,1.0,1,mean_token_entropy_nats,0.0035649729285250303,0.002047665489705808,-0.00044845143129835325,0.0075783972883484135,50
pure_top_k,0.7,1.0,1,mean_effective_support_size,1.0051431687703458,0.0029541568505337995,0.9993530213432996,1.0109333161973921,50
pure_top_k,0.7,1.0,1,mean_retained_support_size,1.005143168750754,0.0029541568392805052,0.9993530213457641,1.0109333161557437,50
pure_top_k,0.7,1.0,1,mean_max_token_probability,0.997428415624623,0.0014770784196402535,0.9945333419221282,1.000323489327118,50
pure_top_k,0.7,1.0,1,unique_answer_rate,0.21999999999999997,0.010301575072754256,0.19980891285740163,0.24019108714259832,50
pure_top_k,0.7,1.0,1,pairwise_token_jaccard_distance,0.02209828920126403,0.0109968513208465,0.0005444606124048908,0.043652117790123166,50
