prompt_id,decoding_mode,temperature,top_p,top_k,repetitions,unique_answer_rate,pairwise_token_jaccard_distance,mean_word_length,mean_latency_seconds,mean_token_entropy_nats,mean_effective_support_size,mean_retained_support_size,mean_max_token_probability
0,pure_top_k,0.3,1.0,1,5,0.2,0.0,14.0,0.4319328976795077,0.0,1.0,1.0,1.0
0,pure_top_k,0.3,1.0,5,5,0.2,0.0,14.0,0.4325865146704018,0.0490683905008109,1.0558915781534757,5.055555555555555,0.9885123173395792
0,pure_top_k,0.3,1.0,10,5,0.6,0.14714912280701756,15.0,0.45235120775178067,0.054106274249438605,1.063695078949631,10.071904761904761,0.9851293528363818
0,pure_top_k,0.3,1.0,30,5,0.4,0.16,14.8,0.4467082099057734,0.062064946108211096,1.081282820336712,30.330303030303032,0.9830362796783447
0,pure_top_k,0.7,1.0,1,5,0.2,0.0,14.0,0.41831571497023107,0.0,1.0,1.0,1.0
0,pure_top_k,0.7,1.0,5,5,1.0,0.5890323354806113,18.8,0.5371574332937599,0.247983405253195,1.4032000359175714,5.068278943278943,0.9110936732408421
0,pure_top_k,0.7,1.0,10,5,1.0,0.6058740116634853,22.6,0.6454825222492218,0.28267805856174427,1.4988786063118948,10.093003815217127,0.9012625321620703
0,pure_top_k,0.7,1.0,30,5,1.0,0.7106652606652607,16.4,0.4622097400017083,0.30953747934688347,1.5489050120969643,30.42072510822511,0.8915244384573351
0,pure_top_k,1.5,1.0,1,5,0.2,0.0,14.0,0.4172992100007832,0.0,1.0,1.0,1.0
0,pure_top_k,1.5,1.0,5,5,1.0,0.7444090998401343,15.8,0.5932559184730053,0.5748368330919672,2.0196388098560787,5.05038236617184,0.7922733992863542
0,pure_top_k,1.5,1.0,10,5,1.0,0.7862538093061948,15.8,0.4496956983581185,0.7348411200875478,2.5673164231451255,10.107705627705627,0.7580704793914572
0,pure_top_k,1.5,1.0,30,5,1.0,0.8073829873829874,13.6,0.40336305228993297,0.9671386577993148,3.935278679511545,30.496298701298702,0.7057509987598116
0,pure_top_p,0.3,0.6,0,5,0.2,0.0,14.0,0.4993669966235757,0.0,1.0,1.0,1.0
0,pure_top_p,0.3,0.9,0,5,0.2,0.0,14.0,0.4272931320592761,0.0,1.0,1.0,1.0
0,pure_top_p,0.3,0.95,0,5,0.2,0.0,14.0,0.43353474251925944,0.0232446980145242,1.0260960827894112,1.1111111111111112,0.9938720431592728
0,pure_top_p,0.7,0.6,0,5,0.2,0.0,14.0,0.43667815048247577,0.0,1.0,1.0,1.0
0,pure_top_p,0.7,0.9,0,5,0.8,0.38964621148831674,17.4,0.5226162202656269,0.15610482600826966,1.2689096084243399,1.387934645999162,0.9364874436038448
0,pure_top_p,0.7,0.95,0,5,0.8,0.6179168626948947,16.2,0.4710782770067453,0.2481083514369451,1.3989692354270153,1.7516239316239315,0.90043255473304
0,pure_top_p,1.5,0.6,0,5,1.0,0.6232831851541529,18.2,0.5331307215616107,0.2778447288099822,1.6854208818321248,1.978985888663308,0.8778574322646989
0,pure_top_p,1.5,0.9,0,5,1.0,0.849119177145124,17.0,0.7514836132526398,1.9482502124838383,1194.7741892964011,6642.748897058824,0.6685272057104157
0,pure_top_p,1.5,0.95,0,5,1.0,0.8471688034188034,10.8,0.43925559530034664,2.146494818329811,979.876375565289,9307.055,0.6191309519073305
1,pure_top_k,0.3,1.0,1,5,0.4,0.13333333333333336,6.0,0.18494889521971342,0.0866433978080749,1.1250000004761636,1.125,0.9375
