decoding_mode,outcome,formula,term,estimate,cluster_se,p_value,ci95_low,ci95_high,n_cells,n_question_clusters
pure_top_p,mean_token_entropy_nats,mean_token_entropy_nats ~ categorical temperature * categorical top_p,Intercept,0.019946296811822473,0.007048926430607891,0.004659270856328057,0.006130401007831007,0.03376219261581394,450,50
pure_top_p,mean_token_entropy_nats,mean_token_entropy_nats ~ categorical temperature * categorical top_p,temperature[0.7],0.03813383224075042,0.006925136769893529,3.658679576215967e-08,0.0245605641717591,0.05170710030974174,450,50
pure_top_p,mean_token_entropy_nats,mean_token_entropy_nats ~ categorical temperature * categorical top_p,temperature[1.5],0.5066894328088808,0.09312638311552333,5.301815545033246e-08,0.32416172190245507,0.6892171437153065,450,50
pure_top_p,mean_token_entropy_nats,mean_token_entropy_nats ~ categorical temperature * categorical top_p,top_p[0.9],0.0408693782234091,0.007158299222097799,1.1339518900939705e-08,0.026839111748097416,0.05489964469872079,450,50
pure_top_p,mean_token_entropy_nats,mean_token_entropy_nats ~ categorical temperature * categorical top_p,top_p[0.95],0.05813194223716217,0.0089031998379443,6.60639321356203e-11,0.04068167055479134,0.075582213919533,450,50
pure_top_p,mean_token_entropy_nats,mean_token_entropy_nats ~ categorical temperature * categorical top_p,temperature[0.7]:top_p[0.9],0.08194314984428742,0.012166115384258496,1.635261271931056e-11,0.058097563691140774,0.10578873599743407,450,50
pure_top_p,mean_token_entropy_nats,mean_token_entropy_nats ~ categorical temperature * categorical top_p,temperature[0.7]:top_p[0.95],0.09049252458874878,0.013319471976698102,1.0906456885345273e-11,0.0643863595144205,0.11659868966307706,450,50
pure_top_p,mean_token_entropy_nats,mean_token_entropy_nats ~ categorical temperature * categorical top_p,temperature[1.5]:top_p[0.9],0.8302276296231745,0.10856856516099803,2.0566618542215495e-14,0.6174332419076184,1.0430220173387306,450,50
pure_top_p,mean_token_entropy_nats,mean_token_entropy_nats ~ categorical temperature * categorical top_p,temperature[1.5]:top_p[0.95],1.2292134714529237,0.1348175595170655,7.680162906723269e-20,0.9649710547994753,1.493455888106372,450,50
pure_top_p,mean_effective_support_size,mean_effective_support_size ~ categorical temperature * categorical top_p,Intercept,1.02842695286869,0.010063977439149384,0.0,1.0087015570879572,1.0481523486494229,450,50
