temperature,top_p,mean,ci95_low,ci95_high,n_prompts
0.1,0.6,0.22399999999999995,0.20263176188826038,0.24536823811173952,50
0.1,0.8,0.27999999999999997,0.23519999999999996,0.3248,50
0.1,0.9,0.27999999999999997,0.23382121699308217,0.32617878300691777,50
0.1,0.95,0.27999999999999997,0.23662258652247692,0.323377413477523,50
0.3,0.6,0.27199999999999996,0.2304541891401792,0.3135458108598207,50
0.3,0.8,0.392,0.32209190032621404,0.461908099673786,50
0.3,0.9,0.44799999999999995,0.3683617780208523,0.5276382219791477,50
0.3,0.95,0.496,0.4135144521749416,0.5784855478250585,50
0.7,0.6,0.428,0.3495920004081216,0.5064079995918784,50
0.7,0.8,0.612,0.5278806181667982,0.6961193818332018,50
0.7,0.9,0.6760000000000003,0.5900514014075857,0.7619485985924148,50
0.7,0.95,0.644,0.5541972294414031,0.7338027705585969,50
1.0,0.6,0.5760000000000001,0.4832088280061083,0.6687911719938918,50
1.0,0.8,0.7080000000000001,0.6175569659951636,0.7984430340048365,50
1.0,0.9,0.7360000000000001,0.648927653069416,0.8230723469305842,50
1.0,0.95,0.752,0.6662925534157037,0.8377074465842963,50
1.5,0.6,0.7200000000000002,0.6290107698680775,0.8109892301319229,50
1.5,0.8,0.8320000000000001,0.7574043003920468,0.9065956996079534,50
1.5,0.9,0.86,0.7898322011176067,0.9301677988823933,50
1.5,0.95,0.88,0.8228909814477608,0.9371090185522392,50
