temperature,top_k,mean,ci95_low,ci95_high,n_prompts
0.1,1.0,0.2239999999999999,0.1998744616640373,0.2481255383359625,50
0.1,2.0,0.288,0.238975206272744,0.3370247937272559,50
0.1,5.0,0.296,0.2456124459811751,0.346387554018825,50
0.1,10.0,0.3,0.2548513566095281,0.34514864339047185,50
0.1,15.0,0.31199999999999994,0.25471553090060095,0.36928446909939894,50
0.1,20.0,0.308,0.2576498023837046,0.3583501976162954,50
0.1,25.0,0.3,0.24837055103915984,0.35162944896084014,50
0.1,30.0,0.308,0.26432,0.35168,50
0.3,1.0,0.2239999999999999,0.1998744616640373,0.2481255383359625,50
0.3,2.0,0.48,0.3992356514296066,0.5607643485703934,50
0.3,5.0,0.472,0.3906475913079397,0.5533524086920603,50
0.3,10.0,0.4759999999999999,0.3922692314617857,0.5597307685382141,50
0.3,15.0,0.49200000000000005,0.408029871978185,0.575970128021815,50
0.3,20.0,0.488,0.4033232593919676,0.5726767406080324,50
0.3,25.0,0.49200000000000005,0.4058182014576164,0.5781817985423837,50
0.3,30.0,0.47600000000000003,0.3976880494432683,0.5543119505567318,50
0.7,1.0,0.2199999999999999,0.1998089128574016,0.2401910871425983,50
0.7,2.0,0.672,0.5906475913079398,0.7533524086920603,50
0.7,5.0,0.708,0.6240298719781849,0.791970128021815,50
0.7,10.0,0.7040000000000001,0.6185270475530418,0.7894729524469584,50
0.7,15.0,0.7559999999999999,0.6757889184713233,0.8362110815286765,50
0.7,20.0,0.7,0.6130646217009438,0.7869353782990561,50
0.7,25.0,0.708,0.6247801562125955,0.7912198437874044,50
0.7,30.0,0.676,0.5871803985597774,0.7648196014402227,50
1.0,1.0,0.2239999999999999,0.1998744616640373,0.2481255383359625,50
1.0,2.0,0.708,0.6240298719781849,0.791970128021815,50
1.0,5.0,0.76,0.6808040405071067,0.8391959594928933,50
1.0,10.0,0.7880000000000001,0.7142073824830696,0.8617926175169307,50
1.0,15.0,0.772,0.6896895243605045,0.8543104756394956,50
1.0,20.0,0.764,0.6827015768910615,0.8452984231089385,50
1.0,25.0,0.7719999999999999,0.6896895243605043,0.8543104756394955,50
1.0,30.0,0.768,0.6839179067815269,0.8520820932184732,50
1.5,1.0,0.2199999999999999,0.1998089128574016,0.2401910871425983,50
1.5,2.0,0.8079999999999999,0.7329015153282038,0.8830984846717961,50
1.5,5.0,0.852,0.7888316028381279,0.915168397161872,50
1.5,10.0,0.8439999999999998,0.7729086671949383,0.9150913328050612,50
1.5,15.0,0.8559999999999998,0.7946141905649194,0.9173858094350801,50
1.5,20.0,0.8360000000000001,0.7636840709110366,0.9083159290889635,50
1.5,25.0,0.8519999999999999,0.7849775679343101,0.9190224320656897,50
1.5,30.0,0.8560000000000001,0.7897020543304697,0.9222979456695305,50
