decoding_mode,temperature,top_p,top_k,metric,mean,ci95_low,ci95_high,n_prompts
pure_top_k,0.1,1.0,10,correctness,0.4428,0.32761950276196933,0.5579804972380307,50
pure_top_k,0.1,1.0,10,strict_accuracy,0.30879999999999996,0.18404104880209993,0.4335589511979,50
pure_top_k,0.1,1.0,10,informativeness,0.32980000000000004,0.26383758597504187,0.3957624140249582,50
pure_top_k,0.1,1.0,10,within_answer_distinct_1,0.9808009757710192,0.96982637696889,0.9917755745731485,50
pure_top_k,0.1,1.0,10,within_answer_distinct_2,0.7986514644775514,0.6887275438199912,0.9085753851351116,50
pure_top_k,0.1,1.0,10,trigram_repetition_rate,0.0,0.0,0.0,50
pure_top_k,0.1,1.0,10,model_generation_latency_seconds,0.39970383347366,0.30587101610703177,0.49353665084028825,50
pure_top_k,0.1,1.0,10,tokens_per_second,41.04144274040235,40.35864486380791,41.724240616996795,50
pure_top_k,0.1,1.0,10,word_length,11.3344,8.453300401205123,14.215499598794878,50
pure_top_k,0.1,1.0,10,stopped_early_on_eos,0.9159999999999999,0.8436147197283868,0.9883852802716131,50
pure_top_k,0.1,1.0,10,unique_answer_rate,0.0944,0.06898216814911233,0.11981783185088767,50
pure_top_k,0.1,1.0,10,pairwise_token_jaccard_distance,0.08727280650017516,0.04953411959187881,0.1250114934084715,50
pure_top_k,0.1,1.0,10,corpus_distinct_1,0.06131858979618241,0.047363950424391454,0.07527322916797337,50
pure_top_k,0.1,1.0,10,corpus_distinct_2,0.08822312993496574,0.057305421376032256,0.11914083849389923,42
pure_top_k,0.1,1.0,15,correctness,0.4472,0.33269808847010457,0.5617019115298953,50
pure_top_k,0.1,1.0,15,strict_accuracy,0.3096,0.18474516486735484,0.43445483513264516,50
pure_top_k,0.1,1.0,15,informativeness,0.3306,0.26450953642165914,0.39669046357834087,50
pure_top_k,0.1,1.0,15,within_answer_distinct_1,0.9807999119969366,0.9699817274502512,0.991618096543622,50
pure_top_k,0.1,1.0,15,within_answer_distinct_2,0.8011604895104896,0.6910962152061237,0.9112247638148554,50
pure_top_k,0.1,1.0,15,trigram_repetition_rate,0.0,0.0,0.0,50
pure_top_k,0.1,1.0,15,model_generation_latency_seconds,0.398811696492508,0.3051261024579367,0.49249729052707936,50
pure_top_k,0.1,1.0,15,tokens_per_second,41.03765884324032,40.35025994754681,41.725057738933835,50
pure_top_k,0.1,1.0,15,word_length,11.351199999999999,8.46364686076533,14.238753139234667,50
pure_top_k,0.1,1.0,15,stopped_early_on_eos,0.9136,0.8405210513485586,0.9866789486514413,50
pure_top_k,0.1,1.0,15,unique_answer_rate,0.1024,0.07086767347625615,0.13393232652374387,50
pure_top_k,0.1,1.0,15,pairwise_token_jaccard_distance,0.09104655962948366,0.049444046092902594,0.13264907316606472,50
pure_top_k,0.1,1.0,15,corpus_distinct_1,0.06051196072319158,0.047659563276026634,0.07336435817035653,50
pure_top_k,0.1,1.0,15,corpus_distinct_2,0.09723952124956044,0.05009943840841297,0.1443796040907079,42
pure_top_k,0.1,1.0,20,correctness,0.43920000000000003,0.3248833825552908,0.5535166174447093,50
pure_top_k,0.1,1.0,20,strict_accuracy,0.3048,0.18101309251782724,0.42858690748217276,50
pure_top_k,0.1,1.0,20,informativeness,0.3286,0.2627434047645948,0.3944565952354052,50
pure_top_k,0.1,1.0,20,within_answer_distinct_1,0.9811177242067933,0.9704595749291381,0.9917758734844485,50
pure_top_k,0.1,1.0,20,within_answer_distinct_2,0.7993117775878644,0.6893944590654679,0.9092290961102609,50
pure_top_k,0.1,1.0,20,trigram_repetition_rate,0.0,0.0,0.0,50
pure_top_k,0.1,1.0,20,model_generation_latency_seconds,0.3996683243131265,0.30597113178228763,0.49336551684396535,50
pure_top_k,0.1,1.0,20,tokens_per_second,41.039750954153845,40.375908835185655,41.703593073122036,50
pure_top_k,0.1,1.0,20,word_length,11.331199999999999,8.460698740515168,14.20170125948483,50
pure_top_k,0.1,1.0,20,stopped_early_on_eos,0.9152000000000001,0.8425935866193628,0.9878064133806375,50
pure_top_k,0.1,1.0,20,unique_answer_rate,0.0968,0.06917525051697301,0.12442474948302698,50
pure_top_k,0.1,1.0,20,pairwise_token_jaccard_distance,0.0949280481113278,0.054702889240970144,0.13515320698168545,50
pure_top_k,0.1,1.0,20,corpus_distinct_1,0.06191982771409144,0.047547191757602664,0.07629246367058022,50
pure_top_k,0.1,1.0,20,corpus_distinct_2,0.08983914019766684,0.05823005040922131,0.12144822998611238,42
pure_top_k,0.1,1.0,25,correctness,0.436,0.32162282745232773,0.5503771725476723,50
pure_top_k,0.1,1.0,25,strict_accuracy,0.2968,0.1733743738764109,0.42022562612358916,50
pure_top_k,0.1,1.0,25,informativeness,0.32480000000000003,0.26019036554816305,0.389409634451837,50
pure_top_k,0.1,1.0,25,within_answer_distinct_1,0.9810801638987087,0.9703961951747897,0.9917641326226276,50
