temperature,top_k,mean,se,ci95_low,ci95_high,n_questions,decoding_mode,top_p
0.1,10.0,0.0944,0.012968281556575343,0.06898216814911233,0.11981783185088767,50,pure_top_k,
0.1,15.0,0.1024,0.01608792169578768,0.07086767347625615,0.13393232652374387,50,pure_top_k,
0.1,20.0,0.0968,0.014094259940319893,0.06917525051697301,0.12442474948302698,50,pure_top_k,
0.1,25.0,0.0968,0.013184530205308563,0.07095832079759522,0.12264167920240478,50,pure_top_k,
0.1,30.0,0.1,0.014735767952260144,0.07111789481357011,0.1288821051864299,50,pure_top_k,
0.3,10.0,0.28719999999999996,0.03950204334678687,0.2097759950402977,0.3646240049597022,50,pure_top_k,
0.3,15.0,0.28159999999999996,0.03810978769774698,0.2069048161124159,0.356295183887584,50,pure_top_k,
0.3,20.0,0.28,0.038315553403977624,0.2049015153282039,0.35509848467179617,50,pure_top_k,
0.3,25.0,0.27999999999999997,0.03917516914514882,0.2032166684755083,0.35678333152449165,50,pure_top_k,
0.3,30.0,0.2784,0.036943818350107155,0.20599011603378997,0.35080988396621,50,pure_top_k,
0.7,10.0,0.5343999999999999,0.05079945363678549,0.4348330708719003,0.6339669291280994,50,pure_top_k,
0.7,15.0,0.5392,0.050573720690589845,0.4400755074464439,0.638324492553556,50,pure_top_k,
0.7,20.0,0.5392000000000001,0.050560805986859185,0.44010082026575614,0.6382991797342441,50,pure_top_k,
0.7,25.0,0.5287999999999999,0.04955692665603706,0.4316684237541673,0.6259315762458326,50,pure_top_k,
0.7,30.0,0.5184,0.05016817431684866,0.4200703783389766,0.6167296216610234,50,pure_top_k,
1.0,10.0,0.6352,0.04966684107169306,0.5378529914994816,0.7325470085005183,50,pure_top_k,
1.0,15.0,0.6312,0.050896164804793836,0.5314435169826041,0.7309564830173959,50,pure_top_k,
1.0,20.0,0.6304,0.05024101909794426,0.5319276025680292,0.7288723974319707,50,pure_top_k,
1.0,25.0,0.6304,0.05084828173205109,0.5307373678051799,0.73006263219482,50,pure_top_k,
1.0,30.0,0.6408,0.05055111779381423,0.5417198091241242,0.7398801908758759,50,pure_top_k,
1.5,10.0,0.7184,0.046842645841025626,0.6265884141515898,0.8102115858484102,50,pure_top_k,
1.5,15.0,0.7376,0.046354939414945465,0.6467443187467069,0.8284556812532932,50,pure_top_k,
1.5,20.0,0.7448,0.045036257502105104,0.656528935295874,0.8330710647041261,50,pure_top_k,
1.5,25.0,0.76,0.04423314852654543,0.673303028887971,0.846696971112029,50,pure_top_k,
1.5,30.0,0.7496,0.04603898968731363,0.6593635802128653,0.8398364197871347,50,pure_top_k,
0.1,,0.0456,0.0025580604897827873,0.04058620144002574,0.05061379855997426,50,pure_top_p,0.6
0.1,,0.06720000000000001,0.008196763920933077,0.05113434271497118,0.08326565728502884,50,pure_top_p,0.8
0.1,,0.0728,0.009876957310542842,0.053441163671336035,0.09215883632866398,50,pure_top_p,0.9
0.1,,0.0912,0.01381108693944758,0.06413026959868275,0.11826973040131726,50,pure_top_p,0.95
0.3,,0.0664,0.007547184905645283,0.051607517584935245,0.08119248241506476,50,pure_top_p,0.6
0.3,,0.16,0.026851063141647383,0.10737191624237113,0.21262808375762887,50,pure_top_p,0.8
0.3,,0.20879999999999996,0.03269230702742635,0.1447230782262443,0.2728769217737556,50,pure_top_p,0.9
0.3,,0.25359999999999994,0.03886739360587851,0.17741990853247808,0.3297800914675218,50,pure_top_p,0.95
0.7,,0.1992,0.03545602622853226,0.12970618859207678,0.2686938114079232,50,pure_top_p,0.6
0.7,,0.3696,0.04620536235334684,0.2790374897874402,0.46016251021255977,50,pure_top_p,0.8
0.7,,0.4536,0.04931014715294306,0.3569521115802316,0.5502478884197683,50,pure_top_p,0.9
0.7,,0.4952,0.05086536049178442,0.39550389343610254,0.5948961065638975,50,pure_top_p,0.95
1.0,,0.3344,0.045610739873814095,0.24500294984732435,0.4237970501526756,50,pure_top_p,0.6
1.0,,0.508,0.05152055266530799,0.40701971677599635,0.6089802832240037,50,pure_top_p,0.8
1.0,,0.5824,0.05258583653496094,0.47933176039147657,0.6854682396085234,50,pure_top_p,0.9
1.0,,0.5975999999999999,0.05161123117765618,0.4964419868917938,0.6987580131082061,50,pure_top_p,0.95
1.5,,0.5864,0.055373875812055814,0.47786720340837063,0.6949327965916294,50,pure_top_p,0.6
1.5,,0.7031999999999999,0.050803695832134906,0.6036247561690156,0.8027752438309843,50,pure_top_p,0.8
1.5,,0.7536,0.04462063218205823,0.666143560923166,0.8410564390768341,50,pure_top_p,0.9
1.5,,0.7776000000000001,0.04332559219186174,0.6926818393039511,0.862518160696049,50,pure_top_p,0.95
