decoding_mode,dimension,value,metric,mean,ci95_low,ci95_high,n_prompts
pure_top_p,temperature,0.1,semantic_cosine_distance,0.01270983743339325,0.0056714105886793206,0.019748264278107178,50
pure_top_p,temperature,0.1,semantic_near_duplicate_rate,0.9270499999999999,0.8829733837303976,0.9711266162696023,50
pure_top_p,temperature,0.3,semantic_cosine_distance,0.03977938639599024,0.025572795184431583,0.0539859776075489,50
pure_top_p,temperature,0.3,semantic_near_duplicate_rate,0.7853833333333333,0.7104702909174763,0.8602963757491904,50
pure_top_p,temperature,0.7,semantic_cosine_distance,0.08383881337104836,0.06198260278735146,0.10569502395474525,50
pure_top_p,temperature,0.7,semantic_near_duplicate_rate,0.5695666666666667,0.48117524180354243,0.6579580915297909,50
pure_top_p,temperature,1.0,semantic_cosine_distance,0.11030800221455288,0.08588339014131739,0.13473261428778838,50
pure_top_p,temperature,1.0,semantic_near_duplicate_rate,0.45244999999999996,0.364321505405144,0.540578494594856,50
pure_top_p,temperature,1.5,semantic_cosine_distance,0.20297011858546174,0.17236978875747408,0.2335704484134494,50
pure_top_p,temperature,1.5,semantic_near_duplicate_rate,0.24201666666666669,0.1680653693570334,0.3159679639763,50
pure_top_p,top_p,0.6,semantic_cosine_distance,0.05890583809517333,0.04330750286284317,0.07450417332750349,50
pure_top_p,top_p,0.6,semantic_near_duplicate_rate,0.7281200000000001,0.6645636244518478,0.7916763755481524,50
pure_top_p,top_p,0.8,semantic_cosine_distance,0.08840859221616765,0.06979436572979425,0.10702281870254104,50
pure_top_p,top_p,0.8,semantic_near_duplicate_rate,0.5947866666666667,0.5239560872948226,0.6656172460385108,50
pure_top_p,top_p,0.9,semantic_cosine_distance,0.10126317659430674,0.08315969386233897,0.11936665932627451,50
pure_top_p,top_p,0.9,semantic_near_duplicate_rate,0.54436,0.4786762335815343,0.6100437664184656,50
pure_top_p,top_p,0.95,semantic_cosine_distance,0.11110731949470942,0.09191510449895032,0.13029953449046852,50
pure_top_p,top_p,0.95,semantic_near_duplicate_rate,0.5139066666666666,0.4479462414158307,0.5798670919175025,50
pure_top_k,temperature,0.1,semantic_cosine_distance,0.02102264801921221,0.011606030012190604,0.030439266026233813,50
pure_top_k,temperature,0.1,semantic_near_duplicate_rate,0.8839466666666667,0.8265852563235526,0.9413080770097807,50
pure_top_k,temperature,0.3,semantic_cosine_distance,0.05867027138676959,0.04011103420870463,0.07722950856483456,50
pure_top_k,temperature,0.3,semantic_near_duplicate_rate,0.68392,0.595619945028229,0.7722200549717709,50
pure_top_k,temperature,0.7,semantic_cosine_distance,0.11065981468204411,0.08681432569492782,0.1345053036691604,50
pure_top_k,temperature,0.7,semantic_near_duplicate_rate,0.44553333333333334,0.35594871715399146,0.5351179495126752,50
pure_top_k,temperature,1.0,semantic_cosine_distance,0.14397526155874138,0.11815992640769205,0.16979059670979071,50
pure_top_k,temperature,1.0,semantic_near_duplicate_rate,0.32927999999999996,0.24732600442188446,0.41123399557811546,50
pure_top_k,temperature,1.5,semantic_cosine_distance,0.19725620122998952,0.17188793654648338,0.22262446591349566,50
pure_top_k,temperature,1.5,semantic_near_duplicate_rate,0.19206666666666666,0.1324086629156564,0.25172467041767693,50
pure_top_k,top_k,10.0,semantic_cosine_distance,0.10430541314194913,0.08582346276506637,0.12278736351883189,50
pure_top_k,top_k,10.0,semantic_near_duplicate_rate,0.5110133333333334,0.44571162109224605,0.5763150455744208,50
pure_top_k,top_k,15.0,semantic_cosine_distance,0.10482935742637844,0.08587286582810541,0.12378584902465148,50
pure_top_k,top_k,15.0,semantic_near_duplicate_rate,0.5073599999999999,0.4390143003236568,0.575705699676343,50
pure_top_k,top_k,20.0,semantic_cosine_distance,0.10608333340828313,0.0865249906644004,0.12564167615216587,50
pure_top_k,top_k,20.0,semantic_near_duplicate_rate,0.5072266666666667,0.4388023113635373,0.5756510219697961,50
pure_top_k,top_k,25.0,semantic_cosine_distance,0.10795787976721305,0.0891413194722468,0.1267744400621793,50
pure_top_k,top_k,25.0,semantic_near_duplicate_rate,0.5049733333333333,0.43755593613725835,0.5723907305294083,50
pure_top_k,top_k,30.0,semantic_cosine_distance,0.10840821313293306,0.0892408975596476,0.1275755287062185,50
pure_top_k,top_k,30.0,semantic_near_duplicate_rate,0.5041733333333334,0.4354962560249136,0.5728504106417531,50
